Export Sales Query System,,,,,,,,,,,,,
Export Sales Data by Date/Commodity,,,,,,,,,,,,,
From: 01/01/2017 To: 10/17/2019,,,,,,,,,,,,,
Source: USDA/FAS/Export Sales Reporting,,,,,,,,,,,,,
10/17/2019,,,,,,,CMY,CMY,CMY,CMY,NMY,NMY,
,,,,,Weekly,Accumulated,Outstanding,Gross,Net,Total,Outstanding,Net,
,,,,,,,,,,,,,
Date,,,Commodity,Country,Exports,Exports,Sales,New Sales,Sales,Commitment,Sales,Sales,Unit Desc
,,,,,,,,,,,,,
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,NICARAGUA,0,0,"2,000",0,0,"2,000",0,0,Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,PAKISTAN,0,"263,443","73,000",0,0,"336,443",0,0,Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,PANAMA,0,"12,935","5,400",0,0,"18,335",0,0,Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,PERU,0,"66,566",500,0,0,"67,066",0,0,Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,PHILIPPINES,440,"53,644","29,233",0,0,"82,877",0,0,Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,PORTUGAL,0,"57,812",0,0,0,"57,812",0,0,Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,RUSSIAN FEDERATION,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,SAUDI ARABIA,0,"213,227",0,0,0,"213,227",0,0,Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,SINGAPORE,0,"17,210",144,0,0,"17,354",0,0,Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,SPAIN,0,"547,841","60,000",0,0,"607,841","60,000",0,Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,SRI LANKA,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,SWEDEN,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,SWITZERLAND,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,SYRIA,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,TAIWAN,"24,348","634,841","305,936","6,854","6,854","940,777",0,0,Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,THAILAND,"13,542","709,362","87,990","3,076","3,060","797,352",0,0,Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,TUNISIA,"29,000","188,620",0,0,"-1,000","188,620",0,0,Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,TURKEY,0,"199,634",0,0,0,"199,634",0,0,Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,UNITED KINGDOM,0,"171,717",0,0,0,"171,717",0,0,Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,VENEZUELA,0,"5,400","6,000","6,000","6,000","11,400",0,0,Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,VIETNAM,"5,441","397,542","48,260","3,139","3,126","445,802",0,0,Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,EUROPEAN UNION - 27,"32,854","2,311,988","98,445",0,-146,"2,410,433","60,000",0,Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,KNOWN,"1,261,538","37,376,181","8,326,540","428,891","746,292","45,702,721","391,285",0,Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,UNKNOWN,0,0,"4,137,794","204,000","-206,939","4,137,794","390,000","126,000",Metric Tons
,,,,,,,,,,,,,
01/19/2017,,,Soybeans,GRAND TOTAL,"1,261,538","37,376,181","12,464,334","632,891","539,353","49,840,515","781,285","126,000",Metric Tons
,,,,,,,,,,,,,
